0,City,Country,Latitude,Temperature,Humidity,Cloud Cover,Wind Speed,Date
<citipy.citipy.City object at 0x000001BC49AA64E0>,altay,cn,47.83,-6.08,70,0,1.99,1518832800
<citipy.citipy.City object at 0x000001BC4AD6DB00>,chokurdakh,ru,70.62,-17.11,50,20,2.89,1518832801
<citipy.citipy.City object at 0x000001BC497B89E8>,collie,au,-33.36,82.66,52,0,5.64,1518832801
<citipy.citipy.City object at 0x000001BC4978C1D0>,neuquen,ar,-38.95,84.2,32,0,5.82,1518829200
<citipy.citipy.City object at 0x000001BC4A3AB6D8>,aioi,jp,34.81,37.4,74,75,11.41,1518829200
<citipy.citipy.City object at 0x000001BC49DDEE80>,klaksvik,fo,62.23,37.4,86,20,8.05,1518830400
<citipy.citipy.City object at 0x000001BC497F7EF0>,bathsheba,bb,13.22,75.2,83,40,14.99,1518829200
<citipy.citipy.City object at 0x000001BC49E1AD30>,laon,fr,49.56,33.12,94,92,7.65,1518832818
<citipy.citipy.City object at 0x000001BC4AE16630>,lavrentiya,ru,65.58,30.96,95,92,27.45,1518832822
<citipy.citipy.City object at 0x000001BC4A0BE780>,bengkulu,id,,,,,,
<citipy.citipy.City object at 0x000001BC497C87F0>,port lincoln,au,-34.72,72.36,78,24,5.57,1518832825
<citipy.citipy.City object at 0x000001BC498EE7F0>,feijo,br,-3.63,75.2,94,75,4.7,1518829200
<citipy.citipy.City object at 0x000001BC4B52E860>,kuruman,za,-27.46,56.34,77,0,2.77,1518832738
<citipy.citipy.City object at 0x000001BC49DD88D0>,maarianhamina,fi,,,,,,
<citipy.citipy.City object at 0x000001BC4A2DC908>,rawah,iq,,,,,,
<citipy.citipy.City object at 0x000001BC4AF22C88>,tiksi,ru,71.64,-12.79,80,64,5.64,1518832828
<citipy.citipy.City object at 0x000001BC497C8898>,port macquarie,au,-31.43,80.6,54,75,12.75,1518829200
<citipy.citipy.City object at 0x000001BC4A84B860>,tiarei,pf,-17.53,86,66,75,18.34,1518831000
<citipy.citipy.City object at 0x000001BC4ADB87B8>,kamenka,ru,53.19,11.52,83,80,9.93,1518832830
<citipy.citipy.City object at 0x000001BC4AD2CBE0>,artyk,ru,,,,,,
<citipy.citipy.City object at 0x000001BC4A7EA1D0>,dunedin,nz,-45.87,69.52,62,8,2.51,1518832559
<citipy.citipy.City object at 0x000001BC49BB3A20>,parrita,cr,9.52,69.8,68,20,20.8,1518829200
<citipy.citipy.City object at 0x000001BC49B03908>,xining,cn,36.62,26.82,67,88,3.85,1518832587
<citipy.citipy.City object at 0x000001BC4B132EF0>,ketchikan,us,55.34,36.16,74,90,4.7,1518830580
<citipy.citipy.City object at 0x000001BC4A84E8D0>,kavieng,pg,-2.57,79.33,100,44,6.91,1518832836
<citipy.citipy.City object at 0x000001BC499F1C18>,fort nelson,ca,58.81,19.4,79,75,4.7,1518829200
<citipy.citipy.City object at 0x000001BC49B76BA8>,puerto rico,co,-26.82,76.27,75,88,2.39,1518832838
<citipy.citipy.City object at 0x000001BC4B16D710>,pacific grove,us,36.62,58.5,36,1,8.05,1518831300
<citipy.citipy.City object at 0x000001BC4A7C42B0>,mehamn,no,71.03,11.74,82,48,2.51,1518832838
<citipy.citipy.City object at 0x000001BC497D16D8>,gurgan,az,,,,,,
<citipy.citipy.City object at 0x000001BC4A8490F0>,avera,pf,33.19,73.47,64,90,4.7,1518831300
<citipy.citipy.City object at 0x000001BC4AE310F0>,maloshuyka,ru,,,,,,
<citipy.citipy.City object at 0x000001BC4A10BEB8>,westport,ie,53.8,43.02,95,76,12.17,1518832755
<citipy.citipy.City object at 0x000001BC49A866D8>,grand-lahou,ci,5.24,78.16,93,8,6.35,1518832841
<citipy.citipy.City object at 0x000001BC49AC1160>,haibowan,cn,,,,,,
<citipy.citipy.City object at 0x000001BC4B549D68>,sesheke,zm,-17.47,65.16,100,88,3.29,1518832841
<citipy.citipy.City object at 0x000001BC49D73D68>,el faiyum,eg,,,,,,
<citipy.citipy.City object at 0x000001BC49784278>,namibe,ao,-15.19,76.95,100,32,4.79,1518832842
<citipy.citipy.City object at 0x000001BC4A7112B0>,tomatlan,mx,19.93,72.04,82,0,2.28,1518832842
<citipy.citipy.City object at 0x000001BC4AF97CC0>,jiddah,sa,,,,,,
<citipy.citipy.City object at 0x000001BC4A7396A0>,miri,my,10.31,59.85,53,0,5.08,1518832843
<citipy.citipy.City object at 0x000001BC49DC40F0>,abiy adi,et,,,,,,
<citipy.citipy.City object at 0x000001BC49EB56A0>,locharbriggs,gb,55.1,37.4,86,92,17.22,1518828600
<citipy.citipy.City object at 0x000001BC4AB28BA8>,ribeira grande,pt,38.52,57.96,100,92,7.92,1518832844
<citipy.citipy.City object at 0x000001BC497CE080>,whyalla,au,-33.04,77,44,0,8.05,1518829200
<citipy.citipy.City object at 0x000001BC4A711080>,todos santos,mx,23.45,75.74,64,40,4.7,1518828420
<citipy.citipy.City object at 0x000001BC4A8382E8>,pisco,pe,-13.71,73.4,88,75,17.22,1518829200
<citipy.citipy.City object at 0x000001BC4B1766A0>,ridgecrest,us,35.62,62.6,10,1,3.36,1518828960
<citipy.citipy.City object at 0x000001BC497C5DD8>,new norfolk,au,-42.78,68,42,75,25.28,1518831000
<citipy.citipy.City object at 0x000001BC4B5162E8>,tuy hoa,vn,13.08,73.66,92,68,7.02,1518832846
<citipy.citipy.City object at 0x000001BC4A5DD2E8>,asfi,ma,,,,,,
<citipy.citipy.City object at 0x000001BC49D52B70>,san cristobal,ec,-0.39,53.6,87,75,8.05,1518829200
<citipy.citipy.City object at 0x000001BC49AC3588>,heihe,cn,50.24,1.4,41,0,8.95,1518831000
<citipy.citipy.City object at 0x000001BC4A2D71D0>,yanam,in,16.73,76.77,80,24,4.79,1518832848
<citipy.citipy.City object at 0x000001BC4A7F3CF8>,te anau,nz,-45.41,56.97,75,56,11.45,1518832848
<citipy.citipy.City object at 0x000001BC49A86400>,divo,ci,5.83,74.34,90,8,7.36,1518832848
<citipy.citipy.City object at 0x000001BC4AF9FF28>,umm kaddadah,sd,13.6,65.79,54,8,11.34,1518832848
<citipy.citipy.City object at 0x000001BC4B1D4FD0>,nanakuli,us,21.39,78.37,73,75,6.93,1518829020
<citipy.citipy.City object at 0x000001BC49B0D160>,yuci,cn,37.68,26.6,38,88,2.24,1518829200
<citipy.citipy.City object at 0x000001BC49AE55F8>,nanlong,cn,31.35,50.89,99,92,5.57,1518832849
<citipy.citipy.City object at 0x000001BC49896780>,alta floresta,br,-9.87,74.38,96,32,1.88,1518832850
<citipy.citipy.City object at 0x000001BC4AD71390>,chumikan,ru,54.72,5.71,49,0,6.42,1518832850
<citipy.citipy.City object at 0x000001BC4AA1D2B0>,san policarpo,ph,12.18,81.9,94,0,8.81,1518832850
<citipy.citipy.City object at 0x000001BC499EF400>,dunnville,ca,42.9,24.85,73,5,5.82,1518829200
<citipy.citipy.City object at 0x000001BC4AE15A20>,kytlym,ru,,,,,,
<citipy.citipy.City object at 0x000001BC4A426D68>,willmar,us,45.12,17.6,66,1,5.82,1518831360
<citipy.citipy.City object at 0x000001BC49AFF710>,xianshuigu,cn,38.98,24.8,85,20,4.47,1518829200
<citipy.citipy.City object at 0x000001BC4A7DDC50>,vardo,no,39.62,37.38,64,1,8.05,1518831300
<citipy.citipy.City object at 0x000001BC4A1E7198>,kavaratti,in,10.57,82.66,100,0,9.78,1518832852
<citipy.citipy.City object at 0x000001BC4AFFC908>,abu kamal,sy,34.45,52.33,98,92,5.53,1518832852
<citipy.citipy.City object at 0x000001BC4A823358>,camana,pe,,,,,,
<citipy.citipy.City object at 0x000001BC4AF2B3C8>,troitskoye,ru,52.98,5.98,82,64,4.29,1518832853
<citipy.citipy.City object at 0x000001BC499E9240>,clyde river,ca,70.47,-38.21,65,1,2.24,1518829200
<citipy.citipy.City object at 0x000001BC4A7FD198>,sur,om,22.57,71.55,93,0,1.54,1518832853
<citipy.citipy.City object at 0x000001BC499EC588>,dawson creek,ca,55.76,15.06,66,90,2.24,1518829200
<citipy.citipy.City object at 0x000001BC4B52EE80>,margate,za,-43.03,68,42,75,25.28,1518831000
<citipy.citipy.City object at 0x000001BC4A54EF98>,chuy,uy,-33.69,69.07,86,0,12.39,1518832854
<citipy.citipy.City object at 0x000001BC498B3B38>,boca do acre,br,-8.76,74.47,97,36,1.83,1518832854
<citipy.citipy.City object at 0x000001BC4B1382B0>,sitka,us,37.17,39.37,36,80,14.85,1518832854
<citipy.citipy.City object at 0x000001BC49A8F128>,coihaique,cl,-45.58,60.8,72,0,4.7,1518829200
<citipy.citipy.City object at 0x000001BC49DE1828>,vestmanna,fo,62.16,37.4,86,12,8.05,1518830400
<citipy.citipy.City object at 0x000001BC499BD710>,vilhena,br,-12.74,71.86,95,12,1.99,1518832855
<citipy.citipy.City object at 0x000001BC4A580BE0>,rungata,ki,,,,,,
<citipy.citipy.City object at 0x000001BC4978CFD0>,salta,ar,-24.79,62.6,93,90,4.7,1518831300
<citipy.citipy.City object at 0x000001BC497BE9B0>,karratha,au,-20.74,92.02,44,24,15.86,1518832856
